country,iso3,loc_id,total_population_2022,adult_population_estimated,adult_ratio_used,latitude,longitude
Liberia,LBR,430,5248621,3411604,0.65,6.500000,-9.500000
Libya,LBY,434,7459000,4848350,0.65,25.000000,17.000000
Liechtenstein,LIE,438,40900,26585,0.65,47.266667,9.533333
Lithuania,LTU,440,2894886,1881676,0.65,56.000000,24.000000
Luxembourg,LUX,442,681973,443282,0.65,49.750000,6.166667
Madagascar,MDG,450,31727042,20622577,0.65,-20.000000,47.000000
Malawi,MWI,454,20734262,13477270,0.65,-13.500000,34.000000
Malaysia,MYS,458,34231700,22250605,0.65,2.500000,112.500000
Maldives,MDV,462,515132,334836,0.65,3.250000,73.000000
Mali,MLI,466,22395489,14557068,0.65,17.000000,-4.000000
Malta,MLT,470,574250,373262,0.65,35.937500,14.375400
Marshall Islands,MHL,584,42418,27572,0.65,9.000000,168.000000
Martinique,MTQ,474,349925,227451,0.65,14.666667,-61.000000
Mauritania,MRT,478,4927532,3202896,0.65,20.000000,-12.000000
Mauritius,MUS,480,1243741,808432,0.65,-20.283333,57.550000
Mayotte,MYT,175,320901,208586,0.65,-12.833333,45.166667
Mexico,MEX,484,130575786,84874261,0.65,23.000000,-102.000000
Micronesia (Fed. States of),FSM,583,105564,68617,0.65,6.916667,158.250000
Monaco,MCO,492,38423,24975,0.65,43.733333,7.400000
Mongolia,MNG,496,3544835,2304143,0.65,46.000000,105.000000
Montenegro,MNE,499,623327,405163,0.65,42.500000,19.300000
Montserrat,MSR,500,4386,2851,0.65,16.750000,-62.200000
Morocco,MAR,504,36828330,23938414,0.65,32.000000,-5.000000
Mozambique,MOZ,508,34090466,22158803,0.65,-18.250000,35.000000
Myanmar,MMR,104,51316756,33355891,0.65,22.000000,98.000000
Namibia,NAM,516,3022401,1964561,0.65,-22.000000,17.000000
Nauru,NRU,520,11680,7592,0.65,-0.533333,166.916667
Nepal,NPL,524,29911840,19442696,0.65,28.000000,84.000000
Netherlands,NLD,528,18100436,11765283,0.65,52.500000,5.750000
New Caledonia,NCL,540,264596,171987,0.65,-21.500000,165.500000
New Zealand,NZL,554,5324700,3461055,0.65,-41.000000,174.000000
Nicaragua,NIC,558,6803886,4422526,0.65,13.000000,-85.000000
Niger,NER,562,26312034,17102822,0.65,16.000000,8.000000
Nigeria,NGA,566,223800000,145470000,0.65,10.000000,8.000000
Niue,NIU,570,1681,1093,0.65,-19.033333,-169.866667
North Macedonia,MKD,807,1822612,1184698,0.65,41.833333,22.000000
Northern Mariana Islands,MNP,580,47329,30764,0.65,15.200000,145.750000
Norway,NOR,578,5606944,3644514,0.65,62.000000,10.000000
Oman,OMN,512,5343630,3473360,0.65,21.000000,57.000000
Pakistan,PAK,586,241499431,156974630,0.65,30.000000,70.000000
Palau,PLW,585,16733,10876,0.65,7.500000,134.500000
Panama,PAN,591,4064780,2642107,0.65,9.000000,-80.000000
Papua New Guinea,PNG,598,11781559,7658013,0.65,-6.000000,147.000000
Paraguay,PRY,600,6109644,3971269,0.65,-23.000000,-58.000000
Peru,PER,604,34350244,22327659,0.65,-10.000000,-76.000000
Philippines,PHL,608,114123600,74180340,0.65,13.000000,122.000000
Poland,POL,616,37392000,24304800,0.65,52.000000,20.000000
Portugal,PRT,620,10749635,6987263,0.65,39.500000,-8.000000
Puerto Rico,PRI,630,3203295,2082142,0.65,18.250000,-66.500000
Qatar,QAT,634,3173024,2062466,0.65,25.500000,51.250000
Republic of Korea,KOR,410,51159889,33253928,0.65,37.000000,127.500000
Republic of Moldova,MDA,498,2749076,1786899,0.65,47.000000,29.000000
Romania,ROU,642,19036031,12373420,0.65,46.000000,25.000000
Russian Federation,RUS,643,146028325,94918411,0.65,60.000000,100.000000
Rwanda,RWA,646,14104969,9168230,0.65,-2.000000,30.000000
Réunion,REU,638,896175,582514,0.65,-21.150000,55.500000
Saint Barthélemy,BLM,652,10562,6865,0.65,18.500000,-63.416667
Saint Helena,SHN,654,5651,3673,0.65,-15.950000,-5.720000
Saint Kitts and Nevis,KNA,659,51320,33358,0.65,17.333333,-62.750000
Saint Lucia,LCA,662,184100,119665,0.65,13.883333,-60.966667
Saint Martin (French part),MAF,663,31496,20472,0.65,18.070800,-63.050100
Saint Pierre and Miquelon,SPM,666,5819,3782,0.65,46.833333,-56.333333
Saint Vincent and the Grenadines,VCT,670,110872,72067,0.65,13.250000,-61.200000
Samoa,WSM,882,205557,133612,0.65,-13.583333,-172.333333
San Marino,SMR,674,34132,22186,0.65,43.766667,12.416667
Sao Tome and Principe,STP,678,209607,136245,0.65,1.000000,7.000000
Saudi Arabia,SAU,682,35300280,22945182,0.65,25.000000,45.000000
Senegal,SEN,686,18593258,12085618,0.65,14.000000,-14.000000
Serbia,SRB,688,6567783,4269059,0.65,44.000000,21.000000
Seychelles,SYC,690,122729,79774,0.65,-4.583333,55.666667
Sierra Leone,SLE,694,9077691,5900499,0.65,8.500000,-11.500000
Singapore,SGP,702,6110200,3971630,0.65,1.366667,103.800000
Sint Maarten (Dutch part),SXM,534,41349,26877,0.65,18.033333,-63.050000
Slovakia,SVK,703,5413813,3518978,0.65,48.666667,19.500000
Slovenia,SVN,705,2130638,1384915,0.65,46.116667,14.816667
Solomon Islands,SLB,90,750325,487711,0.65,-8.000000,159.000000
Somalia,SOM,706,19655000,12775750,0.65,10.000000,49.000000
South Africa,ZAF,710,63100945,41015614,0.65,-29.000000,24.000000
South Sudan,SSD,728,15786898,10261484,0.65,7.000000,30.000000
Spain,ESP,724,49315949,32055367,0.65,40.000000,-4.000000
Sri Lanka,LKA,144,21763170,14146060,0.65,7.000000,81.000000
State of Palestine,PSE,275,5483450,3564242,0.65,31.900000,35.200000
Sudan,SDN,729,51662000,33580300,0.65,15.000000,30.000000
Suriname,SUR,740,616500,400725,0.65,4.000000,-56.000000
Sweden,SWE,752,10605098,6893314,0.65,62.000000,15.000000
Switzerland,CHE,756,9082848,5903851,0.65,47.000000,8.000000
Syrian Arab Republic,SYR,760,25620000,16653000,0.65,35.000000,38.000000
Tajikistan,TJK,762,10499000,6824350,0.65,39.000000,71.000000
Thailand,THA,764,65859640,42808766,0.65,15.000000,100.000000
Timor-Leste,TLS,626,1391221,904294,0.65,-8.833333,125.916667
Togo,TGO,768,8095498,5262074,0.65,8.000000,1.166667
Tokelau,TKL,772,2608,1695,0.65,-9.000000,-172.000000
Tonga,TON,776,100179,65116,0.65,-20.000000,-175.000000
Trinidad and Tobago,TTO,780,1367764,889047,0.65,10.691800,-61.222500
Tunisia,TUN,788,11972169,7781910,0.65,34.000000,9.000000
Turkmenistan,TKM,795,7057841,4587597,0.65,40.000000,60.000000
Turks and Caicos Islands,TCA,796,50828,33038,0.65,21.750000,-71.583333
Tuvalu,TUV,798,10643,6918,0.65,-8.000000,178.000000
Türkiye,TUR,792,85664944,55682214,0.65,39.000000,35.000000
Uganda,UGA,800,45905417,29838521,0.65,1.000000,32.000000
Ukraine,UKR,804,32862000,21360300,0.65,49.000000,32.000000
United Arab Emirates,ARE,784,11294243,7341258,0.65,24.000000,54.000000
United Kingdom,GBR,826,69281437,45032934,0.65,54.000000,-2.000000
United Republic of Tanzania,TZA,834,68153004,44299453,0.65,-6.000000,35.000000
United States of America,USA,840,340110988,221072142,0.65,38.000000,-97.000000
United States Virgin Islands,VIR,850,87146,56645,0.65,18.350000,-64.933333
Uruguay,URY,858,3499451,2274643,0.65,-33.000000,-56.000000
Uzbekistan,UZB,860,37859698,24608804,0.65,41.000000,64.000000
Vanuatu,VUT,548,321409,208916,0.65,-16.000000,167.000000
Venezuela (Bolivarian Republic of),VEN,862,28517000,18536050,0.65,8.000000,-66.000000
Viet Nam,VNM,704,101343800,65873470,0.65,16.166667,107.833333
Wallis and Futuna Islands,WLF,876,11620,7553,0.65,-13.300000,-176.200000
Western Sahara,ESH,732,600904,390588,0.65,24.500000,-13.000000
Yemen,YEM,887,32684503,21244927,0.65,15.000000,48.000000
Zambia,ZMB,894,19693423,12800725,0.65,-15.000000,30.000000
Zimbabwe,ZWE,716,17073087,11097507,0.65,-20.000000,30.000000
