elevation_deg,metric,value_db,ecdf
90,snr_db,-21.983761237164046,0.06875
90,snr_db,-21.928825724370178,0.069
90,snr_db,-21.90773986814909,0.06925
90,snr_db,-21.89424120340753,0.0695
90,snr_db,-21.891780445046678,0.06975
90,snr_db,-21.86885358096609,0.07
90,snr_db,-21.839343206269618,0.07025
90,snr_db,-21.82589893853315,0.0705
90,snr_db,-21.811893809496095,0.07075
90,snr_db,-21.77625744781445,0.071
90,snr_db,-21.761086860484305,0.07125
90,snr_db,-21.70957311254963,0.0715
90,snr_db,-21.666874787252404,0.07175
90,snr_db,-21.66496060856663,0.072
90,snr_db,-21.66279057301559,0.07225
90,snr_db,-21.637407412442684,0.0725
90,snr_db,-21.604336698331508,0.07275
90,snr_db,-21.598800277422413,0.073
90,snr_db,-21.572109148800998,0.07325
90,snr_db,-21.56183015711421,0.0735
90,snr_db,-21.550083081930758,0.07375
90,snr_db,-21.511634450121548,0.074
90,snr_db,-21.462730098782124,0.07425
90,snr_db,-21.46134353609236,0.0745
90,snr_db,-21.410691941402177,0.07475
90,snr_db,-21.38918279079043,0.075
90,snr_db,-21.379733432235277,0.07525
90,snr_db,-21.3360741958002,0.0755
90,snr_db,-21.322986032422335,0.07575
90,snr_db,-21.318387929996206,0.076
90,snr_db,-21.317340029082892,0.07625
90,snr_db,-21.309385640775105,0.0765
90,snr_db,-21.298646465934475,0.07675
90,snr_db,-21.297877569291252,0.077
90,snr_db,-21.241197108820728,0.07725
90,snr_db,-21.218196380357618,0.0775
90,snr_db,-21.213986859673632,0.07775
90,snr_db,-21.204379861136566,0.078
90,snr_db,-21.198551054187114,0.07825
90,snr_db,-21.197143355086542,0.0785
90,snr_db,-21.187982834907082,0.07875
90,snr_db,-21.166862083642336,0.079
90,snr_db,-21.10413233848414,0.07925
90,snr_db,-21.092232281995557,0.0795
90,snr_db,-21.085574029392113,0.07975
90,snr_db,-21.071708188581546,0.08
90,snr_db,-21.06533975176829,0.08025
90,snr_db,-21.02526837976618,0.0805
90,snr_db,-20.987420179128108,0.08075
90,snr_db,-20.984032036281683,0.081
90,snr_db,-20.976895644472194,0.08125
90,snr_db,-20.956498036541014,0.0815
90,snr_db,-20.950889102950683,0.08175
90,snr_db,-20.919200237825507,0.082
90,snr_db,-20.91415533866047,0.08225
90,snr_db,-20.87903382314639,0.0825
90,snr_db,-20.84787426578859,0.08275
90,snr_db,-20.819716112960265,0.083
90,snr_db,-20.792413398860838,0.08325
90,snr_db,-20.78839405861489,0.0835
90,snr_db,-20.78356822862455,0.08375
90,snr_db,-20.765259466188816,0.084
90,snr_db,-20.76214604272605,0.08425
90,snr_db,-20.73718490552322,0.0845
90,snr_db,-20.723414683372813,0.08475
90,snr_db,-20.713811138832018,0.085
90,snr_db,-20.68548132724709,0.08525
90,snr_db,-20.676155279032148,0.0855
90,snr_db,-20.67307442486307,0.08575
90,snr_db,-20.659877315472023,0.086
90,snr_db,-20.606410091623417,0.08625
90,snr_db,-20.602357420972748,0.0865
90,snr_db,-20.547400410747603,0.08675
90,snr_db,-20.471827835090398,0.087
90,snr_db,-20.46116442613893,0.08725
90,snr_db,-20.452877458951022,0.0875
90,snr_db,-20.398236769018965,0.08775
90,snr_db,-20.381063085346533,0.088
90,snr_db,-20.364315252613167,0.08825
90,snr_db,-20.313805331439617,0.0885
90,snr_db,-20.232433739714686,0.08875
90,snr_db,-20.222770234300228,0.089
90,snr_db,-20.217181252325275,0.08925
90,snr_db,-20.19696407740163,0.0895
90,snr_db,-20.170652932076347,0.08975
90,snr_db,-20.14086599331361,0.09
90,snr_db,-20.13887758287634,0.09025
90,snr_db,-20.135082298640313,0.0905
90,snr_db,-20.131473015738273,0.09075
90,snr_db,-20.124789794502306,0.091
90,snr_db,-20.096032720007546,0.09125
90,snr_db,-20.045351866698464,0.0915
90,snr_db,-20.03584602768766,0.09175
90,snr_db,-20.025071004891004,0.092
90,snr_db,-20.008402909236626,0.09225
90,snr_db,-19.998598062626762,0.0925
90,snr_db,-19.998501492352652,0.09275
90,snr_db,-19.981817111402883,0.093
90,snr_db,-19.97189395774782,0.09325
90,snr_db,-19.960890773788883,0.0935
90,snr_db,-19.94920084374719,0.09375
90,snr_db,-19.92421438617996,0.094
90,snr_db,-19.91843821331043,0.09425
90,snr_db,-19.909587505308636,0.0945
90,snr_db,-19.905866239955515,0.09475
90,snr_db,-19.890652327323902,0.095
90,snr_db,-19.876672340884422,0.09525
90,snr_db,-19.85240099240323,0.0955
90,snr_db,-19.824945894691417,0.09575
90,snr_db,-19.804301666392316,0.096
