step,satellite_latitude,satellite_longitude,native_footprint_radius_m,footprint_radius_m,footprint_area_km2,country,iso3,overlap_fraction,effective_population,population_coverage_share,step_effective_population,step_devices_total,step_demodulators_total
577,-39.987577,130.508354,100000.0,500000.0,785398.1633974483,Australia,AUS,0.060849568768542875,1089144.4842019484,1.0,1089144.4842019484,1089,5
578,-39.813075,130.678739,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0636444555225604,1139170.0727757318,1.0,1139170.0727757318,1139,5
579,-39.638434,130.844878,100000.0,500000.0,785398.1633974483,Australia,AUS,0.066410468301872,1188678.8470002213,1.0,1188678.8470002213,1189,5
580,-39.463660,131.006918,100000.0,500000.0,785398.1633974483,Australia,AUS,0.06914277185446477,1237584.2608543655,1.0,1237584.2608543655,1238,5
581,-39.288756,131.164999,100000.0,500000.0,785398.1633974483,Australia,AUS,0.07183630774278194,1285795.7735262061,1.0,1285795.7735262061,1286,6
582,-39.113727,131.319254,100000.0,500000.0,785398.1633974483,Australia,AUS,0.07448573339616989,1333217.7585145761,1.0,1333217.7585145761,1333,6
583,-38.938578,131.469812,100000.0,500000.0,785398.1633974483,Australia,AUS,0.07708535207360839,1379748.2500342503,1.0,1379748.2500342503,1380,6
584,-38.763312,131.616795,100000.0,500000.0,785398.1633974483,Australia,AUS,0.07962903001506715,1425277.4601107263,1.0,1425277.4601107263,1425,6
585,-38.587933,131.760320,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0821100956235471,1469685.9740428096,1.0,1469685.9740428096,1470,6
586,-38.412445,131.900500,100000.0,500000.0,785398.1633974483,Australia,AUS,0.08452121325312904,1512842.4913389327,1.0,1512842.4913389327,1513,7
587,-38.236852,132.037442,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0868542205043722,1554600.913472702,1.0,1554600.913472702,1555,7
588,-38.061156,132.171249,100000.0,500000.0,785398.1633974483,Australia,AUS,0.08909991175789501,1594796.4693573867,1.0,1594796.4693573867,1595,7
589,-37.885362,132.302020,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0912477398400795,1633240.3754699081,1.0,1633240.3754699081,1633,7
590,-37.709472,132.429851,100000.0,500000.0,785398.1633974483,Australia,AUS,0.0932853876004804,1669712.1675285955,1.0,1669712.1675285955,1670,7
591,-37.533489,132.554831,100000.0,500000.0,785398.1633974483,Australia,AUS,0.09519812117708282,1703948.1246087276,1.0,1703948.1246087276,1704,7
592,-37.357416,132.677048,100000.0,500000.0,785398.1633974483,Australia,AUS,0.09696774982991942,1735622.6512377332,1.0,1735622.6512377332,1736,7
593,-37.181255,132.796586,100000.0,500000.0,785398.1633974483,Australia,AUS,0.09857080504143215,1764315.6851708326,1.0,1764315.6851708326,1764,8
594,-37.005011,132.913525,100000.0,500000.0,785398.1633974483,Australia,AUS,0.09997494079135852,1789448.2660264208,1.0,1789448.2660264208,1789,8
