step,satellite_latitude,satellite_longitude,elevation_deg,footprint_radius_m,footprint_area_km2,countries_used,estimated_devices_total,estimated_demodulators_total,sent_packets_sum,decoded_payload_sum,collision_rate,busy_demodulators,idle_demodulators,demod_utilization,baseline_circuit_power_w,per_idle_demodulator_power_w,per_busy_demodulator_power_w,total_power_w,power_formula_check_w
120,14.134701,-28.280136,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
121,13.955209,-28.279179,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
122,13.775716,-28.27819,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
123,13.596225,-28.277168,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
124,13.416734,-28.276113,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
125,13.237244,-28.275023,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
126,13.057754,-28.2739,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
127,12.878265,-28.272741,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
128,12.698777,-28.271548,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
129,12.519289,-28.270319,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
130,12.339802,-28.269055,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
131,12.160316,-28.267754,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
132,11.98083,-28.266416,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
133,11.801345,-28.265042,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
134,11.621861,-28.26363,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
135,11.442378,-28.26218,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
136,11.262895,-28.260692,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
137,11.083413,-28.259164,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
138,10.903932,-28.257598,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
139,10.724452,-28.255992,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
140,10.544972,-28.254346,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
141,10.365493,-28.252659,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
142,10.186015,-28.250932,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
143,10.006538,-28.249163,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
144,9.827062,-28.247352,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
145,9.647586,-28.245498,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
146,9.468112,-28.243602,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
147,9.288638,-28.241663,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
148,9.109165,-28.239679,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
149,8.929693,-28.237652,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
150,8.750222,-28.235579,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
151,8.570752,-28.233462,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
152,8.391282,-28.231298,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
153,8.211814,-28.229089,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
154,8.032347,-28.226832,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
155,7.85288,-28.224529,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
156,7.673415,-28.222177,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
157,7.49395,-28.219777,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
158,7.314487,-28.217329,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
159,7.135024,-28.214831,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
160,6.955563,-28.212283,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
161,6.776102,-28.209684,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
162,6.596643,-28.207035,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
163,6.417185,-28.204334,90.0,500000.0,785398.1633974483,0,0,1000,0,0.0,0.0,0,1000,0.0,35.0,0.12,0.8,155.0,155.0
