elevation_bin,collision_rate,ecdf
>55deg,0.0,0.5837209302325581
>55deg,0.0,0.586046511627907
>55deg,0.0,0.5883720930232558
>55deg,0.0,0.5906976744186047
>55deg,0.0,0.5930232558139535
>55deg,0.0,0.5953488372093023
>55deg,0.0,0.5976744186046512
>55deg,0.0,0.6
>55deg,0.0,0.6023255813953489
>55deg,0.0,0.6046511627906976
>55deg,0.0,0.6069767441860465
>55deg,0.0,0.6093023255813953
>55deg,0.0,0.6116279069767442
>55deg,0.0,0.6139534883720931
>55deg,0.0,0.6162790697674418
>55deg,0.0,0.6186046511627907
>55deg,0.0,0.6209302325581395
>55deg,0.0,0.6232558139534884
>55deg,0.0,0.6255813953488372
>55deg,0.0,0.627906976744186
>55deg,0.0,0.6302325581395349
>55deg,0.0,0.6325581395348837
>55deg,0.0,0.6348837209302326
>55deg,0.0,0.6372093023255814
>55deg,0.0,0.6395348837209303
>55deg,0.0,0.641860465116279
>55deg,0.0,0.6441860465116279
>55deg,0.0,0.6465116279069767
>55deg,0.0,0.6488372093023256
>55deg,0.0,0.6511627906976745
>55deg,0.0,0.6534883720930232
>55deg,0.0,0.6558139534883721
>55deg,0.0,0.6581395348837209
>55deg,0.0,0.6604651162790698
>55deg,0.0,0.6627906976744186
>55deg,0.0,0.6651162790697674
>55deg,0.0,0.6674418604651163
>55deg,0.0,0.6697674418604651
>55deg,0.0,0.672093023255814
>55deg,0.0,0.6744186046511628
>55deg,0.0,0.6767441860465117
>55deg,0.0,0.6790697674418604
>55deg,0.0,0.6813953488372093
>55deg,0.0,0.6837209302325581
>55deg,0.0,0.686046511627907
>55deg,0.0,0.6883720930232559
>55deg,0.0,0.6906976744186046
>55deg,0.0,0.6930232558139535
>55deg,0.0,0.6953488372093023
>55deg,0.0,0.6976744186046512
>55deg,0.0,0.7
>55deg,0.0,0.7023255813953488
>55deg,0.0,0.7046511627906977
>55deg,0.0,0.7069767441860465
>55deg,0.0,0.7093023255813954
>55deg,0.0,0.7116279069767442
>55deg,0.0,0.713953488372093
>55deg,0.0,0.7162790697674418
>55deg,0.0,0.7186046511627907
>55deg,0.0,0.7209302325581395
>55deg,0.0,0.7232558139534884
>55deg,0.0,0.7255813953488373
>55deg,0.0,0.727906976744186
>55deg,0.0,0.7302325581395349
>55deg,0.0,0.7325581395348837
>55deg,0.0,0.7348837209302326
>55deg,0.0,0.7372093023255814
>55deg,0.0,0.7395348837209302
>55deg,0.0,0.7418604651162791
>55deg,0.0,0.7441860465116279
>55deg,0.0,0.7465116279069768
>55deg,0.0,0.7488372093023256
>55deg,0.0007843137254901489,0.7511627906976744
>55deg,0.0007843137254901489,0.7534883720930232
>55deg,0.0007843137254901489,0.7558139534883721
>55deg,0.0007843137254901489,0.7581395348837209
>55deg,0.0007843137254901489,0.7604651162790698
>55deg,0.0007843137254901489,0.7627906976744186
>55deg,0.0007843137254901489,0.7651162790697674
>55deg,0.0007843137254901489,0.7674418604651163
>55deg,0.0007843137254901489,0.7697674418604651
>55deg,0.0007843137254901489,0.772093023255814
>55deg,0.0007843137254901489,0.7744186046511627
>55deg,0.0007843137254901489,0.7767441860465116
>55deg,0.0007843137254901489,0.7790697674418605
>55deg,0.0007843137254901489,0.7813953488372093
>55deg,0.0007843137254901489,0.7837209302325582
>55deg,0.0007843137254901489,0.786046511627907
>55deg,0.0007843137254901489,0.7883720930232558
>55deg,0.002105263157894721,0.7906976744186046
>55deg,0.002105263157894721,0.7930232558139535
>55deg,0.002105263157894721,0.7953488372093023
>55deg,0.0023323615160349975,0.7976744186046512
>55deg,0.0023323615160349975,0.8
>55deg,0.0023323615160349975,0.8023255813953488
>55deg,0.0023323615160349975,0.8046511627906977
>55deg,0.0023323615160349975,0.8069767441860465
>55deg,0.002564102564102555,0.8093023255813954
>55deg,0.002564102564102555,0.8116279069767441
>55deg,0.002564102564102555,0.813953488372093
>55deg,0.002564102564102555,0.8162790697674419
>55deg,0.002564102564102555,0.8186046511627907
>55deg,0.002564102564102555,0.8209302325581396
>55deg,0.003076923076923088,0.8232558139534883
>55deg,0.003076923076923088,0.8255813953488372
>55deg,0.003076923076923088,0.827906976744186
