step,orbit_index,timestamp_s,orbit_timestamp_s,timestamp_utc,sat_x_m,sat_y_m,sat_z_m,sat_radius_m,node_population_ratio,demd_population_ratio,calculated_nodes,calculated_demodulators
11,2907,11.0,11.0,2026-04-20T06:09:03.504863+00:00,83260.3035128006,1.1458058406003052e-13,592531.759121947,6964029.497240879,1e-07,1e-07,237,237
12,2908,12.0,12.0,2026-04-20T06:09:04.504863+00:00,90829.01108885137,-4.50288299982327e-13,592437.2436034335,6964029.591756397,1e-07,1e-07,237,237
13,2909,13.0,13.0,2026-04-20T06:09:05.504863+00:00,98397.61146842955,-2.854918229273787e-13,592334.5098306285,6964029.694490169,1e-07,1e-07,237,237
14,2910,14.0,14.0,2026-04-20T06:09:06.504863+00:00,105966.0957190719,-1.563776884902015e-13,592223.5579251396,6964029.805442075,1e-07,1e-07,237,237
15,2911,15.0,15.0,2026-04-20T06:09:07.504863+00:00,113534.4549084536,1.9618876058528114e-13,592104.3880183073,6964029.924611982,1e-07,1e-07,237,237
16,2912,16.0,16.0,2026-04-20T06:09:08.504863+00:00,121102.68010439868,-3.783985407434144e-13,591977.0002511963,6964030.051999749,1e-07,1e-07,237,237
17,2913,17.0,17.0,2026-04-20T06:09:09.504863+00:00,128670.76237489068,-4.2792185498425546e-13,591841.3947746027,6964030.1876052255,1e-07,1e-07,237,237
18,2914,18.0,18.0,2026-04-20T06:09:10.504863+00:00,136238.69278808346,-5.754458654571388e-14,591697.5717490464,6964030.33142825,1e-07,1e-07,237,237
19,2915,19.0,19.0,2026-04-20T06:09:11.504863+00:00,143806.4624123116,2.950825198989943e-13,591545.5313447779,6964030.4834686555,1e-07,1e-07,237,237
20,2916,20.0,20.0,2026-04-20T06:09:12.504863+00:00,151374.06231610136,-6.666323734941513e-13,591385.2737417715,6964030.643726258,1e-07,1e-07,237,237
21,2917,21.0,21.0,2026-04-20T06:09:13.504863+00:00,158941.4835681808,-2.0670218392466154e-12,591216.7991297329,6964030.81220087,1e-07,1e-07,237,237
22,2918,22.0,22.0,2026-04-20T06:09:14.504863+00:00,166508.7172374909,4.935630839610212e-13,591040.10770809,6964030.988892291,1e-07,1e-07,237,237
23,2919,23.0,23.0,2026-04-20T06:09:15.504863+00:00,174075.75439319602,1.5694553089304468e-12,590855.199686002,6964031.173800315,1e-07,1e-07,237,237
24,2920,24.0,24.0,2026-04-20T06:09:16.504863+00:00,181642.58610469458,-6.259066896606602e-14,590662.0752823502,6964031.366924719,1e-07,1e-07,237,237
25,2921,25.0,25.0,2026-04-20T06:09:17.504863+00:00,189209.20344162942,-2.376915880284324e-13,590460.7347257426,6964031.568265274,1e-07,1e-07,237,237
26,2922,26.0,26.0,2026-04-20T06:09:18.504863+00:00,196775.59747389893,-7.333075897783951e-13,590251.1782545168,6964031.777821746,1e-07,1e-07,237,237
27,2923,27.0,27.0,2026-04-20T06:09:19.504863+00:00,204341.75927166722,9.575910580249682e-13,590033.4061167296,6964031.995593882,1e-07,1e-07,237,237
28,2924,28.0,28.0,2026-04-20T06:09:20.504863+00:00,211907.6799053751,2.45320405082578e-13,589807.4185701702,6964032.221581431,1e-07,1e-07,237,237
29,2925,29.0,29.0,2026-04-20T06:09:21.504863+00:00,219473.35044575046,-5.986975549878919e-13,589573.2158823442,6964032.455784117,1e-07,1e-07,237,237
30,2926,30.0,30.0,2026-04-20T06:09:22.504863+00:00,227038.761963819,-2.6971194511801353e-13,589330.7983304905,6964032.698201669,1e-07,1e-07,237,237
31,2927,31.0,31.0,2026-04-20T06:09:23.504863+00:00,234603.90553091504,-7.666309301150172e-13,589080.1662015663,6964032.948833799,1e-07,1e-07,237,237
32,2928,32.0,32.0,2026-04-20T06:09:24.504863+00:00,242168.7722186916,1.0242773879023501e-12,588821.319792253,6964033.207680208,1e-07,1e-07,237,237
33,2929,33.0,33.0,2026-04-20T06:09:25.504863+00:00,249733.3530991317,2.1374432091034547e-13,588554.2594089583,6964033.474740591,1e-07,1e-07,237,237
34,2930,34.0,34.0,2026-04-20T06:09:26.504863+00:00,257297.63924455905,-2.5450375713862636e-13,588278.9853678113,6964033.750014632,1e-07,1e-07,237,237
35,2931,35.0,35.0,2026-04-20T06:09:27.504863+00:00,264861.6217276475,3.9436841840094246e-13,587995.4979946641,6964034.033502005,1e-07,1e-07,237,237
36,2932,36.0,36.0,2026-04-20T06:09:28.504863+00:00,272425.2916214331,2.4731469786571792e-12,587703.7976250928,6964034.325202376,1e-07,1e-07,237,237
37,2933,37.0,37.0,2026-04-20T06:09:29.504863+00:00,279988.6399993239,-2.3165069219943395e-12,587403.8846043888,6964034.625115395,1e-07,1e-07,237,237
38,2934,38.0,38.0,2026-04-20T06:09:30.504863+00:00,287551.6579351111,3.4208552045507686e-12,587095.7592875762,6964034.933240714,1e-07,1e-07,237,237
39,2935,39.0,39.0,2026-04-20T06:09:31.504863+00:00,295114.33650297887,-1.8731961776625877e-12,586779.4220393887,6964035.249577961,1e-07,1e-07,237,237
40,2936,40.0,40.0,2026-04-20T06:09:32.504863+00:00,302676.66677751625,1.3223357042439302e-12,586454.8732342897,6964035.574126765,1e-07,1e-07,237,237
41,2937,41.0,41.0,2026-04-20T06:09:33.504863+00:00,310238.6398337263,-3.0384306604556086e-13,586122.1132564573,6964035.906886744,1e-07,1e-07,237,237
42,2938,42.0,42.0,2026-04-20T06:09:34.504863+00:00,317800.2467470378,1.5875832779547015e-12,585781.1424997905,6964036.2478575,1e-07,1e-07,237,237
43,2939,43.0,43.0,2026-04-20T06:09:35.504863+00:00,325361.4785933156,-1.7335857205619866e-13,585431.9613679098,6964036.597038632,1e-07,1e-07,237,237
44,2940,44.0,44.0,2026-04-20T06:09:36.504863+00:00,332922.326448871,3.1144570466178737e-13,585074.5702741519,6964036.954429726,1e-07,1e-07,237,237
45,2941,45.0,45.0,2026-04-20T06:09:37.504863+00:00,340482.7813904727,-3.1230761306464664e-13,584708.9696415728,6964037.320030359,1e-07,1e-07,237,237
46,2942,46.0,46.0,2026-04-20T06:09:38.504863+00:00,348042.8344953571,-8.118938976224692e-13,584335.1599029452,6964037.693840097,1e-07,1e-07,237,237
47,2943,47.0,47.0,2026-04-20T06:09:39.504863+00:00,355602.4768412395,7.216642011550507e-13,583953.1415007617,6964038.075858498,1e-07,1e-07,237,237
48,2944,48.0,48.0,2026-04-20T06:09:40.504863+00:00,363161.69950632384,-1.3177552428743495e-12,583562.9148872299,6964038.466085113,1e-07,1e-07,237,237
49,2945,49.0,49.0,2026-04-20T06:09:41.504863+00:00,370720.49356931413,1.503702591247427e-12,583164.4805242727,6964038.864519475,1e-07,1e-07,237,237
50,2946,50.0,50.0,2026-04-20T06:09:42.504863+00:00,378278.8501094247,1.8604804394289824e-12,582757.8388835303,6964039.271161117,1e-07,1e-07,237,237
51,2947,51.0,51.0,2026-04-20T06:09:43.504863+00:00,385836.7602063908,1.6239173115163634e-12,582342.990446357,6964039.686009554,1e-07,1e-07,237,237
52,2948,52.0,52.0,2026-04-20T06:09:44.504863+00:00,393394.2149404793,-3.317583263485904e-12,581919.9357038196,6964040.109064296,1e-07,1e-07,237,237
53,2949,53.0,53.0,2026-04-20T06:09:45.504863+00:00,400951.2053924998,2.0668597440822148e-12,581488.6751567051,6964040.540324843,1e-07,1e-07,237,237
54,2950,54.0,54.0,2026-04-20T06:09:46.504863+00:00,408507.7226438139,5.277579381998713e-14,581049.2093155077,6964040.979790686,1e-07,1e-07,237,237
55,2951,55.0,55.0,2026-04-20T06:09:47.504863+00:00,416063.75777634716,-1.7864198946505413e-12,580601.5387004344,6964041.4274613,1e-07,1e-07,237,237
56,2952,56.0,56.0,2026-04-20T06:09:48.504863+00:00,423619.3018725996,-3.7881517383440057e-13,580145.6638414077,6964041.8833361585,1e-07,1e-07,237,237
57,2953,57.0,57.0,2026-04-20T06:09:49.504863+00:00,431174.3460156551,2.1166197317181357e-12,579681.5852780594,6964042.347414722,1e-07,1e-07,237,237
58,2954,58.0,58.0,2026-04-20T06:09:50.504863+00:00,438728.88128919376,1.6921246756133469e-12,579209.3035597336,6964042.819696439,1e-07,1e-07,237,237
59,2955,59.0,59.0,2026-04-20T06:09:51.504863+00:00,446282.8987775011,-1.0299139451247128e-12,578728.8192454819,6964043.300180754,1e-07,1e-07,237,237
60,2956,60.0,60.0,2026-04-20T06:09:52.504863+00:00,453836.3895654792,2.3145618641314385e-12,578240.1329040676,6964043.7888670955,1e-07,1e-07,237,237
