step,orbit_index,orbit_timestamp_s,center_elevation_deg,center_slant_range_km,user_positions_count,user_distance_min_km,user_distance_max_km,user_distance_mean_km,elevation_impact_range_ratio,elevation_impact_fspl_delta_db,sample_user_positions_local_m,elev_90deg_num_users,elev_90deg_distance_km,elev_55deg_num_users,elev_55deg_distance_km,elev_25deg_num_users,elev_25deg_distance_km,elev_90deg_busy,elev_90deg_idle,elev_90deg_sleep,elev_90deg_energy_model_w,elev_55deg_busy,elev_55deg_idle,elev_55deg_sleep,elev_55deg_energy_model_w,elev_25deg_busy,elev_25deg_idle,elev_25deg_sleep,elev_25deg_energy_model_w
23,2919,23.0,73.58415104012222,615.9644756506219,237,596.8200468282724,651.4030781189753,620.0797110743052,1.033466185123842,0.2859254227615509,68298.6|68122.4|-730.3;-24725.5|63991.7|-369.4;-65279.8|-42956.2|-479.3;27409.2|82360.9|-591.3;18991.6|14443.5|-44.7;57552.8|25472.2|-310.9,79,604.5465336760201,79,722.4105120551867,79,1212.6409670318847,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
24,2920,24.0,72.90609652001253,617.9609342536583,237,598.0528249580346,653.9306777354525,622.8771565694241,1.0381285942823735,0.3250230688639791,-26524.8|6439.3|-58.5;-4362.3|54605.2|-235.5;-633.2|-95160.2|-710.7;60446.1|-4099.2|-288.1;-2931.9|-71722.6|-404.4;37294.2|9167.4|-115.8,79,604.1406869129487,79,721.5754428260055,79,1222.413011170213,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
25,2921,25.0,72.23228990682544,620.03548440382,237,599.6505906178415,657.4738647630929,625.2128938969547,1.0420214898282578,0.35753351204538086,-75120.7|-8831.8|-449.0;-72295.4|57460.9|-669.3;-68566.1|6809.9|-372.6;-63944.2|52687.7|-538.8;-58073.3|23539.8|-308.2;61058.8|42749.1|-436.0,79,605.0129207613908,79,721.1880563231892,79,1216.086835221763,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
26,2922,26.0,71.56284924137209,622.1873425199642,237,599.4995973220069,659.6837755282236,625.2262090179864,1.042043681696644,0.3577184929397468,-17741.6|68718.5|-395.3;-10729.7|36966.8|-116.3;34956.7|44354.1|-250.3;-60385.3|-2178.4|-286.5;13480.6|7382.9|-18.5;25875.8|48285.4|-235.5,79,604.4574767128441,79,715.9361042462256,79,1209.4199766019472,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
27,2923,27.0,70.89788663766889,624.4157068139378,237,600.5927894593946,663.4464136380903,628.1457307847686,1.0469095513079476,0.3981832407462946,-18744.0|-61219.7|-321.7;-66238.5|15312.2|-362.7;-35940.4|-5239.2|-103.5;-31728.9|-39803.7|-203.4;-43857.1|-56476.4|-401.3;-24568.3|-34453.6|-140.5,79,604.0513766606961,79,716.3101782114445,79,1218.4904148342105,19,153,65,3.2790000000000004,27,147,63,4.025,78,111,48,8.801
28,2924,28.0,70.23750826466099,626.7197585869516,237,601.9702156748772,666.1038990096059,629.7305235572597,1.0495508725954328,0.42006988079846175,-60229.8|49210.6|-474.8;11555.2|50641.3|-211.7;-23216.7|-77988.3|-519.7;18287.5|-2300.0|-26.7;49325.1|10174.3|-199.1;12256.4|-71710.6|-415.4,79,604.9857654037288,79,721.2703822922754,79,1206.5661996597155,20,152,65,3.37,28,146,63,4.1160000000000005,76,113,48,8.619
29,2925,29.0,69.58181434439344,629.0986635192705,237,602.9107081936997,670.0032782859234,635.5722974877549,1.0592871624795914,0.5002741818383689,-1828.6|85379.5|-572.4;-54417.8|-40669.4|-362.2;-22637.7|42689.6|-183.2;36493.9|47287.4|-280.0;-12350.7|87300.9|-610.1;34285.5|-90253.8|-731.6,79,604.5359134349687,79,724.049215466183,79,1220.5584631084103,20,152,65,3.37,28,146,63,4.1160000000000005,78,111,48,8.801
30,2926,30.0,68.93089916594924,631.551572949444,237,604.9599453306308,672.9479542787491,636.9417985722123,1.0615696642870205,0.518969990251342,39563.1|4348.1|-124.3;-79138.2|-58653.8|-761.6;-86644.8|-485.6|-589.2;81226.6|45329.2|-679.1;20156.0|-48704.5|-218.1;29661.8|-76524.5|-528.7,79,604.4511784742773,79,724.5254802995265,79,1217.242045442362,20,152,65,3.37,28,146,63,4.1160000000000005,78,111,48,8.801
31,2927,31.0,68.28485111441574,634.0776251394017,237,606.7048864381924,675.6623749887582,639.3889579720593,1.0656482632867654,0.552277630001671,-51466.0|48036.4|-389.0;-13760.0|81337.1|-534.1;-55390.4|-63850.5|-560.8;10398.7|6071.6|-11.4;19466.1|-85097.2|-598.1;-78890.4|-56850.5|-742.1,79,604.5813725505304,79,721.7077133143774,79,1219.9817367340104,20,152,65,3.37,28,146,63,4.1160000000000005,78,111,48,8.801
32,2928,32.0,67.6437527141008,636.6759465220899,237,607.3756926086697,679.0961678741062,642.2504828708894,1.0704174714514822,0.5910637815139196,21518.1|23849.0|-81.0;67176.6|13008.1|-367.4;10584.9|55218.5|-248.1;-52350.1|-22157.9|-253.6;53264.7|-37600.9|-333.6;-64613.9|21672.3|-364.5,79,604.0556988612426,79,722.4847030652784,79,1224.909919500904,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,79,111,47,8.901
33,2929,33.0,67.0076806851805,639.3456529284944,237,609.6832361781915,684.098476365773,645.3248452557638,1.0755414087596062,0.6325427110127666,-68680.8|-54478.3|-603.1;65737.5|-62858.5|-649.3;39669.0|41306.4|-257.4;49951.8|24259.0|-242.0;-10341.6|-23365.8|-51.2;49217.6|2295.9|-190.5,79,603.95741059199,79,723.6569839971856,79,1222.1476668576013,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
34,2930,34.0,66.376706012934,642.0858507911577,237,612.0613667981376,685.6846447244983,646.6278425151002,1.0777130708585003,0.6500630031066945,43253.4|4588.6|-148.5;10749.6|-5086.1|-11.1;8949.7|-54976.9|-243.5;29085.1|43366.6|-214.0;11736.6|94168.0|-706.8;55888.0|-60229.9|-529.9,79,604.6275536590989,79,721.8699879871588,79,1215.7258393796044,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
35,2931,35.0,65.75089402869983,644.8956383215756,237,612.8656112004429,688.5095081555619,647.0820359042746,1.0784700598404575,0.6561618570778978,35902.1|28323.6|-164.1;-65505.6|-9668.7|-344.1;-40882.8|75595.5|-579.7;80596.0|2390.4|-510.3;-5987.3|81360.7|-522.3;-77183.0|-349.4|-467.6,79,604.532707486544,79,718.7122777414011,79,1212.5945495432702,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
36,2932,36.0,65.13030450167433,647.7741066590875,237,615.1534920891286,693.5470284028066,651.7341053774006,1.0862235089623344,0.7183839584919913,-67585.5|-33303.2|-445.5;-9373.3|27224.6|-65.1;-31804.8|-60793.3|-369.4;37507.0|13575.5|-124.9;-11308.8|-77482.4|-481.2;-1679.6|-64820.5|-330.0,79,604.1611373379814,79,719.1163147582622,79,1214.2812393507513,19,153,65,3.2790000000000004,27,147,63,4.025,77,112,48,8.71
37,2933,37.0,64.514991740668,650.7203409891205,237,615.9894610409053,698.5681166799263,654.7175861502202,1.0911959769170338,0.7580551226785491,11223.2|25679.5|-61.6;-62258.9|72059.8|-711.8;-26861.1|5467.8|-59.0;-93824.4|-24823.4|-739.3;49559.8|-80360.5|-699.6;42151.4|82242.3|-670.3,79,604.1923325357851,79,719.8884108406772,79,1214.0443349339403,19,153,65,3.2790000000000004,27,147,63,4.025,77,112,48,8.71
38,2934,38.0,63.905004704935365,653.7334216289441,237,617.907828562753,700.1178997714239,657.3791137780543,1.095631856296757,0.7932930238977298,-25318.0|-43967.9|-202.0;94547.1|25482.0|-752.6;91701.8|-31643.9|-738.6;-62779.8|4231.1|-310.7;20713.5|60149.9|-317.6;75595.1|-43198.0|-595.0,79,604.4113093991944,79,722.2862872870477,79,1216.1234889298744,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
39,2935,39.0,63.300387123198924,656.8124250792401,237,621.1764809577277,707.1330147205202,661.0271205326054,1.1017118675543425,0.8413605528730432,-70158.6|-24611.4|-433.9;11839.9|-86954.3|-604.4;29313.4|-162.7|-67.4;-27068.9|55430.7|-298.6;73553.8|3985.9|-425.9;-59769.8|35803.9|-381.0,79,604.6585760726555,79,725.932616037108,79,1214.895829792245,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
40,2936,40.0,62.70117762000272,659.9564250401646,237,623.0716777012603,709.854659729541,662.8901297571059,1.1048168829285099,0.8658060432483511,3388.1|-3404.0|-1.8;29951.1|-22836.3|-111.3;54631.1|-68245.9|-599.8;-3608.5|-13451.3|-15.2;-2009.4|75981.9|-453.4;-17488.0|17011.0|-46.7,79,604.6097926882272,79,717.8355727846991,79,1213.2543333551762,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
41,2937,41.0,62.10740984854476,663.1644933906639,237,624.9101148945526,712.7588697375297,665.0986732261246,1.1084977887102077,0.8946966219571385,-59216.7|-56312.2|-524.1;50055.8|82626.6|-732.5;-43159.2|41959.5|-284.4;-63685.4|-52049.1|-530.9;-36553.6|71304.0|-503.9;-17588.1|83911.2|-576.9,79,604.7256267418676,79,718.8623080931927,79,1206.176392174924,20,152,65,3.37,27,147,63,4.025,76,113,48,8.619
42,2938,42.0,61.51911262916096,666.4357011301526,237,627.3785333567856,718.4168514606633,670.4396216323704,1.117399369387284,0.9641684385373228,40464.0|31301.2|-205.4;-15863.4|26893.5|-76.5;-39882.1|29301.7|-192.2;16745.2|29213.5|-89.0;-86846.8|-2070.3|-592.3;-48248.7|16128.6|-203.1,79,604.1604657526963,79,721.6468937951703,79,1212.6806445975117,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
43,2939,43.0,60.93631009265763,669.7691192817913,237,629.9277077385061,716.8273207731551,672.573916564515,1.120956527607525,0.9917754064711619,-35368.1|89914.4|-732.7;-36017.1|-62152.3|-405.0;-17491.2|70290.7|-411.8;70001.1|-14087.3|-400.2;33223.4|8120.3|-91.8;34993.5|-28226.7|-158.6,79,604.2460707279585,79,721.4139617957425,79,1211.0846388428997,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
44,2940,44.0,60.35902182771812,673.1638197568345,237,632.3024776109941,725.8710520377681,675.1514403174536,1.1252524005290896,1.0249989620557018,-46366.3|-40083.0|-294.8;75397.8|-48690.7|-632.2;61062.9|5158.0|-294.7;64925.9|-43749.8|-481.1;55184.9|-55901.9|-484.3;-29787.3|33594.4|-158.2,79,604.3287902923715,79,717.5455912201764,79,1218.5617852534938,19,153,65,3.2790000000000004,27,147,63,4.025,78,111,48,8.801
45,2941,45.0,59.787263031641174,676.6188761797162,237,635.592463708444,731.0885842202158,680.0294101859929,1.1333823503099882,1.087528905430838,-20983.0|61261.0|-329.1;21833.6|40470.8|-166.0;89910.9|-766.3|-634.5;-70974.1|5845.9|-398.0;14616.5|73305.8|-438.5;88918.8|-4466.8|-622.1,79,604.8389661948996,79,717.317971203075,79,1220.3365332501414,20,152,65,3.37,27,147,63,4.025,78,111,48,8.801
