step,orbit_index,sat_lat_deg,sat_lon_deg,footprint_radius_m,footprint_area_km2,footprint_earth_surface_ratio,footprint_horizon_utilization_ratio,covered_population_total,covered_population_points,covered_population_ratio,covered_ocean_points,covered_ocean_ratio,covered_population_places,covered_ocean_places
10,2906,48.72822481123616,139.59472087116922,98838.23515728768,30690.20835679205,6.016927280169403e-05,0.03732186898226644,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
11,2907,48.790377469314635,139.5944536190554,98838.24954014644,30690.2172888205,6.016929031326157e-05,0.03732187189263382,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
12,2908,48.85253012259436,139.59418646808922,98838.26529273282,30690.227071477308,6.016930949251703e-05,0.03732187508016497,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
13,2909,48.91468277063896,139.59391942746993,98838.2824150282,30690.23770475131,6.016933033943853e-05,0.03732187854485611,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
14,2910,48.97683541301206,139.59365250639763,98838.30090701254,30690.249188630525,6.0169352854002554e-05,0.037321882286703106,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
15,2911,49.03898804927721,139.5933857140738,98838.32076866366,30690.26152310163,6.0169377036183015e-05,0.03732188630570142,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
16,2912,49.10114067899795,139.59311905970094,98838.34199995811,30690.274708150588,6.0169402885952376e-05,0.0373218906018462,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
17,2913,49.16329330173778,139.592852552483,98838.3646008709,30690.288743762427,6.016943040328129e-05,0.037321895175132395,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
18,2914,49.22544591706015,139.59258620162518,98838.38857137505,30690.30362992097,6.016945958813803e-05,0.03732190002555441,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
19,2915,49.28759852452847,139.59232001633416,98838.41391144258,30690.319366609463,6.016949044048976e-05,0.037321905153106516,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
20,2916,49.34975112370611,139.59205400581823,98838.44062104293,30690.33595380959,6.016952296030057e-05,0.03732191055778246,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
21,2917,49.411903714156395,139.5917881792874,98838.46870014507,30690.353391502755,6.0169557147534e-05,0.03732191623957585,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
22,2918,49.47405629544258,139.59152254595313,98838.49814871512,30690.37167966866,6.016959300215025e-05,0.03732192219847972,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
23,2919,49.536208867127876,139.59125711502907,98838.52896671912,30690.390818286953,6.016963052410943e-05,0.03732192843448716,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
24,2920,49.59836142877545,139.59099189573044,98838.56115411983,30690.410807335324,6.016966971336779e-05,0.03732193494759047,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
25,2921,49.6605139799484,139.59072689727458,98838.59471087903,30690.43164679085,6.01697105698804e-05,0.037321941737781826,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
