feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,Brazil,,0,-18.825181879454938,-45.01874898684328
Unknown River,River,Brazil,,0,-19.59922875796135,-44.468941723127564
Unknown River,River,Argentina,,0,-45.611081024643724,-68.66351814677569
Unknown River,River,Argentina,,0,-45.12916533603067,-68.76198100172883
Unknown River,River,South Africa,,0,-27.3986201719746,31.976757030202297
Unknown River,River,South Africa,,0,-27.37368057247458,31.145992542880972
Unknown River,River,Dem. Rep. Congo,,0,-10.860287261651827,27.106747715536713
Unknown River,River,Dem. Rep. Congo,,0,-9.935021225084588,26.96191595918656
Unknown River,River,Dem. Rep. Congo,,0,-2.1721798445307736,18.290904272820935
Unknown River,River,Dem. Rep. Congo,,0,-2.3693698320511563,19.679960007831177
Unknown River,River,Ethiopia,,0,9.706683119759841,40.14032194789847
Unknown River,River,Ethiopia,,0,9.914313493582462,40.1288028626238
Unknown River,River,India,,0,31.945665623427143,76.07232473144201
Unknown River,River,India,,0,31.797251448077535,76.19585734604172
Unknown River,River,India,,0,14.611223728958315,75.9022777086801
Unknown River,River,India,,0,14.98832912597667,76.44637243843994
Unknown River,River,Sri Lanka,,0,7.639116349387909,80.93524003607709
Unknown River,River,Sri Lanka,,0,7.557297953321853,80.95775289141551
Unknown River,River,Laos,,0,18.620291029932776,102.68311956197732
Unknown River,River,Laos,,0,18.754071199750257,102.80191083450678
Unknown River,River,China,,0,35.22595965922439,92.18079912154066
Unknown River,River,China,,0,35.17110529410413,93.12912467773383
Unknown River,River,North Korea,,0,40.55784860078876,125.12676015447822
Unknown River,River,North Korea,,0,41.22776560012298,126.6244890642639
Unknown River,River,Brazil,,0,-18.213568635547187,-48.78835984432815
Unknown River,River,Brazil,,0,-16.93907817220021,-48.30633545952796
Unknown River,River,Dem. Rep. Congo,,0,-5.599639706949967,29.526754170549367
Unknown River,River,Dem. Rep. Congo,,0,-5.865173005068759,27.97346495152871
Unknown River,River,Brazil,,0,-21.42898472371305,-49.799598661296955
Unknown River,River,Brazil,,0,-22.72958202194161,-47.963290541470805
Unknown River,River,Somalia,,0,0.04123021588603171,42.43406110544684
Unknown River,River,Kenya,,0,1.644930222587694,40.532509694880474
Unknown River,River,China,,0,45.71754042331881,123.93500462945077
Unknown River,River,China,,0,46.120543156847205,122.02034371697764
Unknown River,River,Russia,,0,55.56391727434154,102.10665870280043
Unknown River,River,Russia,,0,53.58352870749519,101.16964349698394
Unknown River,River,Brazil,,0,-3.819605725050372,-44.662767636413406
Unknown River,River,Brazil,,0,-5.0229825516632856,-45.23983291194053
Unknown River,River,Bolivia,,0,-17.548559746488696,-57.81147432778967
Unknown River,River,Brazil,,0,-17.25307668659101,-58.1317636219205
Unknown River,River,Ghana,,0,8.198137764254422,0.14192775334990174
Unknown River,River,Benin,,0,10.408816651102448,0.8399011224913744
Unknown River,River,Dem. Rep. Congo,,0,-8.933646268198379,28.73732433615417
Unknown River,River,Dem. Rep. Congo,,0,-7.544424059122078,28.10002330128143
Unknown River,River,Russia,,0,52.30111801817302,96.24662469249976
